Sentence,Type,Terjemahan
"The sudden, abrupt death from a heart attack of the 14-year-old from Strensall shattered all those who knew and loved him.",Auditory,Kematian mendadak akibat serangan jantung yang dialami anak berusia 14 tahun dari Strensall menghancurkan semua orang yang mengenal dan mencintainya.
He was a keen walker of long-distance trails in Britain and loved travelling.,Auditory,Dia sangat suka berjalan-jalan di jalur jarak jauh di Inggris dan suka bepergian.
A well loved member of the card playing circuit for many years his hearty laugh could always be heard above any din.,Auditory,"Seorang anggota sirkuit permainan kartu yang sangat dicintai selama bertahun-tahun, tawanya yang hangat selalu terdengar di tengah hiruk pikuk apa pun."
"The most important thing is the presence of God with us, and loving this Abba as we are first loved.",Auditory,"Yang terpenting adalah hadirat Tuhan beserta kita, dan mencintai Abba ini sebagaimana kita dicintai pertama."
"Meanwhile, local families with loved ones on holiday in southern Asia face an anxious wait for news.",Auditory,"Sementara itu, keluarga lokal dengan orang-orang terkasih yang sedang berlibur di Asia Selatan harus menunggu kabar dengan cemas."
In this way Father Frost became a dearly loved and adored character among Bulgarian children.,Auditory,Dengan cara ini Pastor Frost menjadi karakter yang sangat dicintai dan dipuja di kalangan anak-anak Bulgaria.
"It seemed that at Queensmead he was adored and loved where ever he went, and by many different year groups, not just our own.",Auditory,"Tampaknya di Queensmead dia dipuja dan dicintai ke mana pun dia pergi, dan oleh banyak kelompok umur yang berbeda, bukan hanya kelompok kami."
"Mam loved people, adored God and family and always wanted the other person, whether family or friend to have half of whatever she had.",Auditory,"Mam mencintai manusia, memuja Tuhan dan keluarga serta selalu menginginkan orang lain, baik keluarga maupun teman, memiliki separuh dari apa yang dimilikinya."
"He loved people, adored our friends and was the life of any party we had at home.",Auditory,"Dia mencintai orang-orang, memuja teman-teman kami, dan menjadi pusat pesta mana pun yang kami adakan di rumah."
"And Lauren loved him for all his sweet adorableness, and pure innocence, and she smiled.",Auditory,"Dan Lauren mencintainya karena semua kecantikannya yang manis, dan kepolosannya yang murni, dan dia tersenyum."
"A man with a great fondness for the outdoor life, he loved to ramble in the countryside and experience the peace and quiet of the land.",Auditory,"Seorang pria yang sangat menyukai kehidupan di luar ruangan, dia suka berjalan-jalan di pedesaan dan merasakan kedamaian dan ketenangan di pedesaan."
And he loved to tell the yarn about how he and a pal pilfered a barrel of whiskey out from under the noses of the police during Prohibition.,Auditory,Dan dia senang bercerita tentang bagaimana dia dan seorang temannya mencuri satu tong wiski dari bawah hidung polisi selama Larangan.
"My boyfriend brought me to London and surprised me by booking us in at the Met Hotel, absolutely stunning and funky place to stay, I loved it!",Auditory,"Pacar saya membawa saya ke London dan mengejutkan saya dengan memesan kami di Met Hotel, tempat menginap yang benar-benar menakjubkan dan funky, saya menyukainya!"
She loved dancing will also be missed in the Raftery Room for the waltz and quick step.,Auditory,Dia suka menari juga akan dirindukan di Ruang Raftery untuk waltz dan langkah cepat.
Kathleen and Michael loved music and dancing and were the recipients of many trophies for waltzing and the quick step.,Auditory,Kathleen dan Michael menyukai musik dan menari dan merupakan penerima banyak piala untuk tarian waltz dan langkah cepat.
"If I haven't already made it abundantly clear, I loved every minute of The Wire.",Auditory,"Jika saya belum menjelaskannya dengan jelas, saya menyukai setiap menit The Wire."
Outside medicine he was an accomplished pianist and loved his garden and the nearby Lake District.,Auditory,"Di luar kedokteran, dia adalah seorang pianis ulung dan menyukai tamannya serta Lake District di dekatnya."
"Having loved and lost, he yearned for the sort of redamancy only the classical love of years gone past may have once known.",Auditory,"Setelah mencintai dan kehilangan, dia mendambakan semacam penebusan kembali yang hanya pernah diketahui oleh cinta klasik di tahun-tahun yang lalu."
"During the recent week that I drove the 6-Series ragtop around Los Angeles, car-savvy Angelenos loved it.",Auditory,"Selama seminggu terakhir saya mengendarai ragtop Seri 6 di sekitar Los Angeles, Angelenos yang paham mobil menyukainya."
"They loved the baby, but felt too young to take care of her and decided to put her up for adoption.",Auditory,"Mereka menyayangi bayi tersebut, namun merasa terlalu muda untuk merawatnya dan memutuskan untuk mengadopsinya."
"I loved the first season, and I would love to play another incredibly strong, badass character.",Auditory,"Saya menyukai musim pertama, dan saya ingin memainkan karakter hebat dan tangguh lainnya."
"I loved what I managed to see of New York, but my skin protested by sprouting ugly things, and it took several shampoos to wash New York dirt out of my hair.",Auditory,"Aku menyukai apa yang bisa kulihat di New York, tapi kulitku protes dengan menumbuhkan benda-benda jelek, dan butuh beberapa kali sampo untuk membersihkan kotoran New York dari rambutku."
"I loved the simplicity of it, I loved the autonomy of it, and I loved the language of abbreviations that instant messaging has.",Auditory,"Saya menyukai kesederhanaannya, saya menyukai otonominya, dan saya menyukai bahasa singkatan yang dimiliki pesan instan."
"In most ways, the creators of the musical did not want to water down the Tevye they knew and loved.",Auditory,"Dalam banyak hal, pencipta musikal tidak ingin melemahkan Tevye yang mereka kenal dan cintai."
"When Alessandro Bernaroli met his wife-to-be, Alessandra, he knew he loved her despite his confusion over his gender.",Auditory,"Ketika Alessandro Bernaroli bertemu calon istrinya, Alessandra, dia tahu dia mencintainya meskipun ada kebingungan mengenai jenis kelaminnya."
"Even after Salinger had decamped to Cornish, he loved to lunch with William Shawn and Lillian Ross at the Algonquin in New York.",Auditory,"Bahkan setelah Salinger pindah ke Cornish, dia senang makan siang bersama William Shawn dan Lillian Ross di Algonquin di New York."
I loved his blend of Native American realism with just a touch of surrealism.,Auditory,Saya menyukai perpaduan realisme penduduk asli Amerika dengan sentuhan surealisme.
"Dozens of tearful family members huddled at the Surabaya and Singapore airports, anxiously awaiting news of loved ones.",Auditory,"Puluhan anggota keluarga yang menangis berkerumun di bandara Surabaya dan Singapura, dengan cemas menunggu kabar dari orang-orang terkasih."
"Palmer's desire to be loved is large, his need for proofs of appreciation considerable.",Auditory,"Keinginan Palmer untuk dicintai sangat besar, kebutuhannya akan bukti penghargaan juga besar."
"The country he had so ardently defended and the city of Benghazi, which he had helped to save and he so loved, proved his undoing.",Auditory,"Negara yang telah ia pertahankan dengan penuh semangat dan kota Benghazi, yang telah ia bantu selamatkan dan ia sangat cintai, membuktikan kehancurannya."
"And when Pedro Almodovar showed us the argentine film, we loved it because it was so fresh.",Auditory,"Dan ketika Pedro Almodovar menunjukkan kepada kami film Argentina tersebut, kami menyukainya karena sangat segar."
"Before his brutal killing along a dark bike path in Ashland, Ore., 23-year-old David Grubbs loved playing videogames.",Auditory,"Sebelum pembunuhan brutalnya di sepanjang jalur sepeda gelap di Ashland, Oregon, David Grubbs yang berusia 23 tahun suka bermain videogame."
"The President loved the quote, and turned it into an entire ending about American greatness and aspiration.",Auditory,"Presiden menyukai kutipan tersebut, dan mengubahnya menjadi akhir yang utuh tentang kehebatan dan aspirasi Amerika."
"Augustus, also known as Augustus the Strong, was a party-boy, and loved any excuse to celebrate.",Auditory,"Augustus, juga dikenal sebagai Augustus yang Kuat, adalah orang yang suka berpesta, dan menyukai segala alasan untuk merayakannya."
"And there, the sand castle builder and tag player who loved her aunt more than science would be buried.",Auditory,"Dan di sana, pembuat istana pasir dan pemain tag yang lebih mencintai bibinya daripada sains akan dikuburkan."
"One woman, BB, is a former pastor who was outed to her congregation before she could even tell her loved ones.",Auditory,"Seorang wanita, BB, adalah mantan pendeta yang sudah terbuka kepada jemaatnya bahkan sebelum dia sempat memberi tahu orang-orang yang dicintainya."
"Beethoven, of course, was no stranger to megalomania, and he even loved to brag to his friends about his vanity.",Auditory,"Beethoven, tentu saja, tidak asing dengan megalomania, dan dia bahkan suka membual kepada teman-temannya tentang kesombongannya."
"Forrest Gump was about as crimson as they come, and America loved the bejesus out of him.",Auditory,"Forrest Gump hampir sama merahnya dengan mereka, dan Amerika menyukai bejesus darinya."
"He was a benchmark, a mentor as an artist and as a man, and I just loved him with all my heart.",Auditory,"Dia adalah seorang panutan, seorang mentor sebagai seorang seniman dan sebagai seorang pria, dan saya sangat mencintainya dengan sepenuh hati."
"He loved the swing music played by big bands, and his heroes included benny Goodman, Count Basie, and Earl Hines.",Auditory,"Dia menyukai musik swing yang dimainkan oleh band-band besar, dan pahlawannya termasuk benny Goodman, Count Basie, dan Earl Hines."
"No one was quite sure how Pepper made it to the bitter end, except that the show's producers loved the drama she provoked.",Auditory,"Tidak ada yang yakin bagaimana Pepper bisa mencapai akhir yang pahit, kecuali bahwa produser acara menyukai drama yang diprovokasinya."
"She was also a buxom beauty, a kind of nineteenth century bombshell who loved to flirt.",Auditory,"Dia juga seorang yang cantik dan montok, semacam orang terkenal di abad ke-19 yang suka menggoda."
"Reporters loved Brady, and I dare say the love was mutual, which is not always the case with press secretaries.",Auditory,"Para wartawan menyukai Brady, dan saya berani mengatakan bahwa cinta itu bersifat timbal balik, dan hal ini tidak selalu terjadi pada sekretaris pers."
"Ygritte, the red-headed wildling archer who once loved Jon Snow, has breached the walls of Castle Black.",Auditory,"Ygritte, pemanah liar berambut merah yang pernah mencintai Jon Snow, telah menembus tembok Castle Black."
"We loved Zellweger as Bridget Jones for owning her weight, finding love, and never settling for less than she deserved.",Auditory,"Kami menyukai Zellweger sebagai Bridget Jones karena memiliki berat badan, menemukan cinta, dan tidak pernah menerima kurang dari yang pantas diterimanya."
"Occasionally, when Brie focuses very hard, her loved ones can Briefly sense her, can hear her whispering in their ears.",Auditory,"Kadang-kadang, ketika Brie fokus sangat keras, orang yang dicintainya dapat merasakannya secara singkat, dapat mendengarnya berbisik di telinga mereka."
"And, like her mother, she was abandoned by the man she loved.",Auditory,"Dan, seperti ibunya, dia ditinggalkan oleh pria yang dicintainya."
I wondered what the casualty officers would say to loved ones if they asked to see the ceremony.,Auditory,Saya bertanya-tanya apa yang akan dikatakan petugas korban kepada orang-orang terkasih jika mereka meminta untuk melihat upacara tersebut.
I would have loved to be a fly on the wall in last week's Cabinet meeting.,Auditory,Saya ingin sekali menjadi orang yang tidak bisa diganggu gugat dalam rapat Kabinet minggu lalu.
I'd have loved to have been a fly on the wall for that conversation.,Auditory,Saya ingin sekali menjadi lalat di dinding untuk percakapan itu.
"The editors, writers, and cartoonists at Charlie Hebdo were human beings with families, friends, and loved ones.",Auditory,"Para editor, penulis, dan kartunis di Charlie Hebdo adalah manusia yang memiliki keluarga, teman, dan orang-orang terkasih."
Relatives of the dead were forced to collect the charred body parts of their loved ones and transport them to their burial sites.,Auditory,Kerabat para korban terpaksa mengumpulkan bagian tubuh orang yang mereka cintai yang hangus dan membawanya ke tempat pemakaman mereka.
"To me, death was a mysterious, dark, horrible thing that would catch you and drag you down into a deep abyss, away from everything and everyone you loved.",Auditory,"Bagiku, kematian adalah sesuatu yang misterius, kelam, dan mengerikan yang akan menangkapmu dan menyeretmu ke dalam jurang yang dalam, jauh dari segalanya dan semua orang yang kaucintai."
"But they sort of ran the place, secretaries or organisers or whatever they were, and we kids loved them, really loved them and they were as warm as toast.",Auditory,"Tapi merekalah yang mengatur tempat itu, sekretaris atau organisator atau apa pun mereka, dan kami, anak-anak, menyukainya, sangat mencintai mereka, dan mereka sehangat roti panggang."
He ate only the choicest foods and loved the fatty cut of tuna known as toro.,Auditory,Dia hanya makan makanan pilihan dan menyukai potongan tuna berlemak yang dikenal sebagai toro.
"Later at the Pendleton home, the mother, Cleopatra Crowley-Pendleton, spoke of a daughter who loved reading and writing and Latin.",Auditory,"Kemudian di rumah Pendleton, sang ibu, Cleopatra Crowley-Pendleton, berbicara tentang seorang putrinya yang suka membaca dan menulis serta bahasa Latin."
"He was a deeply religious and holy man who was loved by the elderly people most of all, as he had a way with him that won over their deep sense of faith and warmth.",Auditory,"Beliau adalah orang yang sangat religius dan suci, yang paling disayangi oleh orang-orang lanjut usia, karena beliau mempunyai cara yang mampu memenangkan rasa iman dan kehangatan mereka yang dalam."
"Early in his career he had made the mistake, at the outset of his acquaintance with a lady, of telling her that he loved her and exacting the same avowal in return.",Auditory,"Di awal kariernya, dia telah melakukan kesalahan, pada awal perkenalannya dengan seorang wanita, dengan mengatakan kepadanya bahwa dia mencintainya dan meminta pengakuan yang sama sebagai balasannya."
I've always loved when girls carry their wallets as a clutch instead of a bag.,Auditory,"Saya selalu suka ketika perempuan membawa dompet mereka sebagai tas genggam, bukan tas."
She has always loved Irish music and was still able to do the Irish jigs.,Auditory,Dia selalu menyukai musik Irlandia dan masih bisa melakukan jig Irlandia.
"Apparently half the audience was shocked speechless, but Hawking loved it.",Auditory,"Rupanya separuh penonton terkejut hingga tak bisa berkata-kata, namun Hawking menyukainya."
"Spectators will also have the opportunity to get up close and personal with some of the most loved, and best presented classic racing cars in the world.",Auditory,Penonton juga akan memiliki kesempatan untuk mengenal lebih dekat beberapa mobil balap klasik yang paling dicintai dan disajikan terbaik di dunia.
"It was not commercial fiction, it was all serious fiction, but I loved it.",Auditory,"Itu bukan fiksi komersial, itu semua fiksi serius, tapi saya menyukainya."
"He adored her, she was the apple of his eye and she loved her dad.",Auditory,"Dia memujanya, dia adalah biji matanya dan dia mencintai ayahnya."
Age plus adaptivity is what makes a building come to be loved.,Auditory,Usia ditambah kemampuan beradaptasi inilah yang membuat sebuah bangunan semakin dicintai.
"A man of great manners, deep loyalty, and a common touch, David loved parties.",Auditory,"Seorang pria yang memiliki sopan santun, kesetiaan yang mendalam, dan sentuhan yang sama, David menyukai pesta."
"When the teenager was 14 or 15, the suit contends, Goddard communicated that he loved John Doe.",Auditory,"Ketika remaja itu berusia 14 atau 15 tahun, menurut gugatan itu, Goddard menyampaikan bahwa dia mencintai John Doe."
Whitman loved adhesiveness so because it is a friendly profusion.,Auditory,Whitman sangat menyukai kelengketan karena sifatnya yang ramah.
"Hitchcock loved to tell stories, elaborate, complicated rough drafts for movies he would never make.",Auditory,"Hitchcock suka bercerita, membuat draf kasar yang rumit dan rumit untuk film yang tidak akan pernah dia buat."
"Both Conductors were interesting people, retired and loved railroading.",Auditory,"Kedua Konduktor adalah orang-orang yang menarik, pensiunan dan menyukai dunia kereta api."
"He was an accomplished card player and loved to meet the locals in Garrafrauns, Brickens, Cloonfad, Irishtown or wherever his rambles would take him.",Auditory,"Dia adalah pemain kartu yang ulung dan senang bertemu dengan penduduk setempat di Garrafrauns, Brickens, Cloonfad, Irishtown, atau ke mana pun ocehannya membawanya."
"She loved the way the lecturer stated it, offhand, but with the air of a pompatus.",Auditory,"Dia menyukai cara dosen menyatakannya, begitu saja, tetapi dengan kesan pompatus."
"She loved me, my parents, my friends, her catsitters, and even visiting cable repairmen and plumbers, in whose toolboxes she liked to nap.",Auditory,"Dia mencintaiku, orang tuaku, teman-temanku, pengasuh kucingnya, dan bahkan mengunjungi tukang reparasi kabel dan tukang ledeng, yang di dalam kotak peralatannya dia suka tidur siang."
"We imagined that this was a ruse on his part, for his neck loved the yoke of groomdom.",Auditory,"Kami membayangkan ini adalah tipu muslihatnya, karena lehernya menyukai kuk pengantin pria."
"Loving dad of Jacquie and Gordon, much loved pop of Lisa, Calvin, Gavin and Alexin and great-grand-pop of Olivia, Bradley, Max, Joel and Alaia.",Auditory,"Ayah tercinta dari Jacquie dan Gordon, sangat menyukai lagu pop Lisa, Calvin, Gavin dan Alexin serta cicit dari Olivia, Bradley, Max, Joel dan Alaia."
"Despite the woodchopping and the 70-mile hikes with a blood-soaked shirt from the rucksack on my back, I loved it.",Auditory,"Meskipun harus menebang kayu dan mendaki sejauh 70 mil dengan kemeja berlumuran darah dari ransel di punggung saya, saya menyukainya."
"This guest of summer, The temple-haunting martlet, does approve By his loved mansionry that the heaven's breath Smells wooingly here.",Auditory,"Tamu musim panas ini, Pasar kecil yang menghantui kuil, menyetujui Oleh rumah besar yang dicintainya bahwa nafas surga Berbau harum di sini."
"After all that, I found room for some cappuccino ice cream while Erika loved her raspberry and amoretto crme brulee.",Auditory,"Setelah semua itu, saya menemukan ruang untuk es krim cappuccino sementara Erika menyukai raspberry dan amoretto crme brulee-nya."
"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.",Auditory,"Sebab begitu besar kasih Allah terhadap dunia ini sehingga Ia mengaruniakan Anak-Nya yang tunggal, sehingga siapa pun yang percaya kepada-Nya tidak akan binasa melainkan beroleh hidup yang kekal."
"He adds, probably his letter would be propaled and made a bauchle of, and assures them he was never loved at Court as a minister.",Auditory,"Dia menambahkan, mungkin suratnya akan disebarkan dan dijadikan bahan tertawaan, dan meyakinkan mereka bahwa dia tidak pernah dicintai di Istana sebagai menteri."
The English potter and ceramist Josiah Wedgwood loved the meander.,Auditory,Pembuat tembikar dan keramik Inggris Josiah Wedgwood menyukai jalan berliku-liku.
I had a listsib from the UK mail me a couple bottles once to try and I really loved it a lot.,Auditory,Saya mendapat listib dari Inggris mengirimi saya beberapa botol sekali untuk dicoba dan saya sangat menyukainya.
"Each loved one that thou leavest here, Some other love may wear, Each heart will have some other heart Its loneliness to share.",Auditory,"Tiap orang terkasih yang kautinggalkan di sini, Mungkin ada cinta lain yang dipakai, Masing-masing hati akan punya hati lain Kesendiriannya untuk dibagikan."
"When I was young, I loved to dig and find and collect fossils.",Auditory,"Ketika saya masih muda, saya suka menggali dan menemukan serta mengumpulkan fosil."
"I pray that our Heavenly Father may assuage the anguish of your bereavement, and leave you only the cherished memory of the loved and lost.",Auditory,"Saya berdoa agar Bapa Surgawi kita dapat meringankan penderitaan Anda karena kehilangan, dan hanya menyisakan bagi Anda kenangan berharga tentang orang-orang yang Anda kasihi dan yang hilang."
"Nothing beats visiting new places, recharging the batteries and spending quality time with the loved ones.",Auditory,"Tidak ada yang mengalahkan mengunjungi tempat-tempat baru, mengisi ulang baterai, dan menghabiskan waktu berkualitas bersama orang-orang terkasih."
"I loved saying lads... like I was a comrade... like I was one of them... me and the lads... alright lads, eh... Italy, no problem.",Auditory,"Aku senang mengatakan kawan-kawan... seolah-olah aku adalah seorang kawan... seolah-olah aku adalah salah satu dari mereka... aku dan para pemuda... baiklah kawan-kawan, eh... Italia, tidak masalah."
"I liked my very tall Aspieish doctor, loved his deep monotone and astute attention to detail and naturally, his pragmatic advice.",Auditory,"Saya menyukai dokter Aspie saya yang sangat tinggi, menyukai nadanya yang monoton dan perhatiannya yang cerdik terhadap detail dan tentu saja, nasihat pragmatisnya."
"Partly because I loved milder forms of knifeplay but had never taken it as far as I'd fantasized, but mostly because of her.",Auditory,"Sebagian karena aku menyukai bentuk permainan pisau yang lebih ringan namun belum pernah melakukannya sejauh yang kubayangkan, tapi sebagian besar karena dia."
"He was his brother, Mark says. It comes into his head how much Faye loved songs. He had quite forgotten how much.",Auditory,"Dia adalah saudaranya, kata Mark. Terlintas dalam benaknya betapa Faye sangat menyukai lagu. Dia sudah lupa berapa jumlahnya."
"Jack was a truck driver. He loved over-the-road trips. Think he had a girl in every port, so to speak.",Auditory,Jack adalah seorang sopir truk. Dia menyukai perjalanan darat. Sepertinya dia punya seorang gadis di setiap pelabuhan.
"President Franklin Roosevelt loved Camp Pendleton, and decreed that the old ranch house... should be preserved for the ages.",Auditory,"Presiden Franklin Roosevelt menyukai Camp Pendleton, dan memutuskan bahwa rumah peternakan tua... harus dilestarikan selama berabad-abad."
I loved him for nothing so much as his flocci-nauci-nihili-pili-fication of money.,Auditory,Aku mencintainya bukan karena flocci-nauci-nihili-pili-fikasi uangnya.
He loved to flabbergast his associates by announcing some startling new policy without consulting any of them.,Auditory,Dia senang mengejutkan rekan-rekannya dengan mengumumkan kebijakan baru yang mengejutkan tanpa berkonsultasi dengan mereka.
"Nanak stated that the human Guru is mortal and not divine, who is to be respected and loved but not worshipped.",Auditory,"Nanak menyatakan bahwa Guru manusia adalah makhluk fana dan bukan Tuhan, yang harus dihormati dan dicintai tetapi tidak disembah."
She loved to play cards and shocked devout Protestants by playing on Sundays.,Auditory,Dia suka bermain kartu dan mengejutkan umat Protestan yang taat dengan bermain pada hari Minggu.
I have a feeling that this pie is the Marmite of the school pie world. You either loved it or you hated it.,Auditory,Saya merasa kue ini adalah Marmite dari dunia kue sekolah. Anda menyukainya atau Anda membencinya.
"However, she is convinced that her two suitors are mocking her, as neither loved her originally.",Auditory,"Namun, dia yakin bahwa kedua pelamarnya mengejeknya, karena awalnya tidak ada yang mencintainya."
"In practice, however, she loved only Percy Shelley and seems to have ventured no further than flirting with Hogg.",Auditory,"Namun dalam praktiknya, dia hanya mencintai Percy Shelley dan tampaknya hanya berani menggoda Hogg."
He loved Sussex to the point of idolatry as the place where he was brought up and as his spiritual home.,Auditory,Dia mencintai Sussex sampai pada titik penyembahan berhala sebagai tempat dia dibesarkan dan sebagai rumah spiritualnya.
"Their marriage began to fall apart in 1901 when it occurred to Russell, while he was cycling, that he no longer loved her.",Auditory,"Pernikahan mereka mulai berantakan pada tahun 1901 ketika Russell, ketika dia sedang bersepeda, terpikir olehnya bahwa dia tidak lagi mencintainya."
"Above all, Emily loved to wander about the wild landscape of the moors around Haworth.",Auditory,"Yang terpenting, Emily senang menjelajahi lanskap liar di padang rumput di sekitar Haworth."
"From all accounts, Kipling loved the outdoors, not least of whose marvels in Vermont was the turning of the leaves each fall.",Auditory,"Secara keseluruhan, Kipling menyukai alam bebas, salah satu keajaiban yang paling menakjubkan di Vermont adalah pergantian dedaunan setiap musim gugur."
"It is an art which will never enjoy an appeal to the many, but one which will always be loved, and dearly loved, by the few.",Auditory,"Ini adalah seni yang tidak akan pernah menarik bagi banyak orang, tetapi seni yang akan selalu dicintai, dan sangat dicintai, oleh segelintir orang."
"The public loved the film, with lines stretching outside of cinemas as people had to wait for the next showing.",Auditory,"Masyarakat menyukai film tersebut, dengan antrean yang terbentang di luar bioskop karena orang harus menunggu penayangan berikutnya."
To give the film added life is really cool for both those who missed it and those who really loved it.,Auditory,Memberi tambahan kehidupan pada film ini sungguh keren baik bagi mereka yang melewatkannya maupun bagi mereka yang sangat menyukainya.
"The girls loved it, and Alice Liddell asked Dodgson to write it down for her.",Auditory,"Gadis-gadis menyukainya, dan Alice Liddell meminta Dodgson menuliskannya untuknya."
She loved.. to watch the lovely shadows in the silent depths of the placid mere.,Auditory,Dia suka.. menyaksikan bayangan indah di kedalaman keheningan yang tenang.
Don loved the minihamburgers even though they gave him horrible indigestion.,Auditory,Don menyukai minihamburger meskipun itu membuatnya mengalami gangguan pencernaan yang parah.
Mark Lever of the National Autistic Society wants families fully involved in decisions about care decisions for their loved ones.,Auditory,Mark Lever dari National Autistic Society menginginkan keluarga terlibat penuh dalam pengambilan keputusan mengenai keputusan perawatan untuk orang yang mereka cintai.
